paper_id,title,authors,programs,matched_keywords,link,published
34967,Mutual Party Extremism -- by Ivo Welch,,,export,https://www.nber.org/papers/w34967#fromrss,
34951,"Targeting, Personalization, and Engagement in an Agricultural Advisory Service -- by Susan Athey, Shawn Cole, Shanjukta Nath, Jessica Zhu",,,downstream,https://www.nber.org/papers/w34951#fromrss,
